vote_id,post_id
200902212,6238752
129212579,2055902
137334282,42161292
8984880,47056033
111009347,47708904
99245234,5874930
123321054,71292068
175902244,47056033
143057594,5868519
137951838,46273187
137202876,65680234
52317419,5142571
131481540,41820551
97220763,1753823
78806431,45436479
36562746,44681541
138061580,48661005
24290303,6424275
3383376,1932002
30530444,2234328
246589712,7201534
10591754,5271233
72116364,1808967
1548332,2377145
150982663,1826193
77574284,5192747
44227611,43246883
63657067,6235632
195855938,6263605
15152297,5912909
77638853,46273187
16721654,3439951
175163043,1648140
31593533,49744212
195238394,41035134
201023359,2234328
60827451,5933687
187448050,68702194
51706249,6106831
92857126,5758481
78685828,40801985
103974503,6224054
15841350,5650617
239366108,41074624
111014381,5635498
104404509,41799159
23966913,6425080
23431656,47708904
234451985,7201534
227960061,1720124
91929071,59387069
201909463,69768139
53263180,1927772
116314384,53827239
247831449,1720124
131269464,23849924
110372354,50350496
104707278,41799159
29947198,5113860
37076769,68702194
251955987,41122522
30451651,1802335
247129127,5244333
13349985,1747109
206691946,5701604
38139368,30917812
247258853,43298081
155253649,40473401
149204911,5104633
23756064,1808967
249374497,5885894
169481608,5271233
200155687,5113860
202377411,5835816
86348191,49362635
183055172,54697642
241412140,56910282
157296553,50350496
63622714,5830984
234291122,8969699
12338612,1997810
150715129,5923862
182122863,5923862
24560520,29052689
112534978,2028379
245131025,1635730
110013214,29052689
164035783,6151224
252883903,50687298
201122652,5982534
118004941,6340683
11265856,54920650
240897516,32581152
174794955,2397941
161927422,23167933
129905359,29052689
24062531,5486701
221781191,1778209
156126036,60834012
86643269,2032731
64594209,38403797
30623512,41761663
207977707,1720124
100584366,36996562
45488879,5699792
70528128,5113793
11314532,1987943
253429848,43340159
163602428,68702194
149199586,57540427
77757530,5113860
30464064,2006757
201051637,7578569
7951942,69552097
238648583,50784021
23276057,5699792
183074568,2055902
23105150,1927772
240715597,30867249
220527824,6007193
136538039,53827239
200513806,56510797
247889685,41262589
65465700,1984891
149160103,56510797
104889030,5635498
3503923,48541591
11599827,5923862
247702057,32581152
142024863,54891234
84134995,5963073
201755931,1625126
87054580,1997810
10217308,1990639
201128775,41035134
64972588,46997698
225875110,1921234
164109988,2544704
30052775,5728384
73055801,41248677
16687014,61317517
18230922,49351986
104423477,1686054
23598822,54509870
239051104,2369967
84708494,53827239
241103629,1926972
136208865,1921234
238824349,1720376
228289867,44432483
113531094,54509214
129235157,5868519
227957603,1926972
168597714,2235469
228722961,59387069
180993004,57424141
201023210,1720376
189547287,29537303
57108739,49518496
78396264,5870367
227209814,3439951
149307601,3482141
46085522,56918948
181186134,2684632
175599226,53061282
138176743,5902839
149125698,29052689
168515257,5885894
86240539,1927772
241521049,4271751
253391626,54413853
104549327,49093079
30041982,6238752
46551001,41820551
226828945,5885894
163369496,18757774
155234951,7578569
103781429,46273187
239439509,5699792
155814467,2498190
163439898,65680234
15957022,6235340
234081849,5113860
110690027,5142571
65382541,21022550
225874017,54697642
129366717,24207736
11190835,26944942
58957094,6228941
251972028,2684632
43227678,41593902
132884687,1926664
36379810,5857313
39914143,9389736
212612740,19159409
241967870,1763312
180732947,5884631
87054535,41074624
84824670,50687298
227726237,48168051
59683019,5699792
149238685,52565675
15650858,57934425
129725034,1625126
181783174,45913284
44854575,2242237
58838690,42626172
61383733,54509214
251963279,1900902
122934656,6007193
123513221,21022550
214397450,49362635
241030208,69879144
22309675,1747109
23764222,2684632
30233898,5868519
199874082,52347927
92875793,51501366
43676477,60834012
226243777,5885894
23453866,5646361
17229870,6224054
100052456,49744212
161958572,40290369
86332245,40361016
63924618,49362635
43816686,40801985
37919086,46273187
252994846,29052689
78115024,1635730
131553163,5923862
47016926,2242237
206691754,1921234
79499487,5246578
189296218,1625126
227173067,12002092
158473014,30370945
91873009,65565976
51144978,1616976
24049414,52686426
90750919,57934425
144335948,5728384
193393223,36996562
249318373,54697642
175205817,5845275
90233593,2371118
214493714,51025252
221136596,1616976
47123118,5857313
29383780,6425080
91328568,40261141
158008572,56367436
22890593,69768139
220323947,8430708
58305631,54447320
124135639,1671672
162827626,2498190
157404444,6519531
74036801,2370288
124418169,47708904
93015505,1722269
233606594,1990639
129788546,5982534
14906481,28002654
24158474,5912909
220988657,1900902
144500972,5857313
112562906,41290759
135546389,65565976
245376744,1926664
11744528,28002654
64183120,5982534
220729919,1616927
215103327,1927772
201598395,44432483
58429205,54283896
241859667,21022550
116305314,47708904
29918161,69552097
227163892,7201534
50191707,54509870
137613611,52565675
119653866,54509870
193245238,49518496
180656325,5758481
137560208,5978252
123575653,54509870
71483363,5857313
91400204,46526600
63826856,57424141
245430842,5113793
200211974,41248677
32169707,5902839
30835618,54509214
43285937,6235632
18214203,1778209
246978353,65680234
138379234,12308780
227100076,40159700
176866720,2242237
29490209,52686426
249423000,1648140
111872682,47708904
130600240,44681541
174213281,5246578
50672434,5758481
213360541,33750946
188003167,51121265
51190204,1625126
84269652,2369967
105230767,71948107
91206814,50451604
31955780,30370945
199732381,40801985
10452566,1616927
183008032,45368824
29758606,5846908
46234452,32581152
234314828,19159409
110022694,6263605
57101430,1747109
78258209,6151224
