id,vote_type_id,creation_timestrmpz
200902212,15,2020-01-07 00:00:00+00:00
129212579,8,2016-12-29 00:00:00+00:00
137334282,11,2017-04-24 00:00:00+00:00
8984880,11,2010-08-04 00:00:00+00:00
111009347,15,2016-04-03 00:00:00+00:00
99245234,15,2015-10-13 00:00:00+00:00
123321054,11,2016-10-01 00:00:00+00:00
175902244,15,2018-11-26 00:00:00+00:00
143057594,11,2017-07-18 00:00:00+00:00
137951838,15,2017-05-03 00:00:00+00:00
137202876,15,2017-04-22 00:00:00+00:00
52317419,15,2013-08-16 00:00:00+00:00
131481540,15,2017-02-01 00:00:00+00:00
97220763,11,2015-09-12 00:00:00+00:00
78806431,15,2014-11-21 00:00:00+00:00
36562746,8,2012-11-16 00:00:00+00:00
138061580,15,2017-05-05 00:00:00+00:00
24290303,8,2012-02-13 00:00:00+00:00
3383376,11,2009-07-23 00:00:00+00:00
30530444,15,2012-07-13 00:00:00+00:00
246589712,11,2022-02-10 00:00:00+00:00
10591754,11,2010-11-02 00:00:00+00:00
72116364,15,2014-07-23 00:00:00+00:00
1548332,9,2009-02-03 00:00:00+00:00
150982663,8,2017-11-10 00:00:00+00:00
77574284,15,2014-10-30 00:00:00+00:00
44227611,15,2013-03-31 00:00:00+00:00
63657067,8,2014-03-02 00:00:00+00:00
195855938,11,2019-10-12 00:00:00+00:00
15152297,15,2011-05-18 00:00:00+00:00
77638853,15,2014-10-31 00:00:00+00:00
16721654,15,2011-06-28 00:00:00+00:00
175163043,8,2018-11-14 00:00:00+00:00
31593533,8,2012-08-07 00:00:00+00:00
195238394,12,2019-10-02 00:00:00+00:00
201023359,4,2020-01-08 00:00:00+00:00
60827451,11,2014-01-16 00:00:00+00:00
187448050,8,2019-05-24 00:00:00+00:00
51706249,9,2013-08-06 00:00:00+00:00
92857126,9,2015-07-08 00:00:00+00:00
78685828,15,2014-11-19 00:00:00+00:00
103974503,15,2015-12-23 00:00:00+00:00
15841350,15,2011-06-10 00:00:00+00:00
239366108,15,2021-09-28 00:00:00+00:00
111014381,8,2016-04-03 00:00:00+00:00
104404509,11,2015-12-31 00:00:00+00:00
23966913,15,2012-02-05 00:00:00+00:00
23431656,15,2012-01-22 00:00:00+00:00
234451985,11,2021-06-30 00:00:00+00:00
227960061,11,2021-03-11 00:00:00+00:00
91929071,15,2015-06-24 00:00:00+00:00
201909463,15,2020-01-23 00:00:00+00:00
53263180,15,2013-09-03 00:00:00+00:00
116314384,9,2016-06-18 00:00:00+00:00
247831449,15,2022-03-06 00:00:00+00:00
131269464,11,2017-01-29 00:00:00+00:00
110372354,12,2016-03-24 00:00:00+00:00
104707278,15,2016-01-06 00:00:00+00:00
29947198,15,2012-06-30 00:00:00+00:00
37076769,15,2012-11-26 00:00:00+00:00
251955987,9,2022-05-26 00:00:00+00:00
30451651,9,2012-07-12 00:00:00+00:00
247129127,9,2022-02-20 00:00:00+00:00
13349985,15,2011-03-12 00:00:00+00:00
206691946,15,2020-04-09 00:00:00+00:00
38139368,11,2012-12-15 00:00:00+00:00
247258853,11,2022-02-23 00:00:00+00:00
155253649,15,2018-01-17 00:00:00+00:00
149204911,15,2017-10-15 00:00:00+00:00
23756064,8,2012-01-31 00:00:00+00:00
249374497,11,2022-04-05 00:00:00+00:00
169481608,15,2018-08-16 00:00:00+00:00
200155687,15,2019-12-21 00:00:00+00:00
202377411,15,2020-01-30 00:00:00+00:00
86348191,15,2015-04-02 00:00:00+00:00
183055172,15,2019-03-17 00:00:00+00:00
241412140,15,2021-11-05 00:00:00+00:00
157296553,11,2018-02-15 00:00:00+00:00
63622714,15,2014-03-01 00:00:00+00:00
234291122,11,2021-06-27 00:00:00+00:00
12338612,15,2011-01-30 00:00:00+00:00
150715129,11,2017-11-07 00:00:00+00:00
182122863,9,2019-03-04 00:00:00+00:00
24560520,15,2012-02-20 00:00:00+00:00
112534978,8,2016-04-24 00:00:00+00:00
245131025,15,2022-01-15 00:00:00+00:00
110013214,9,2016-03-19 00:00:00+00:00
164035783,15,2018-05-24 00:00:00+00:00
252883903,15,2022-06-14 00:00:00+00:00
201122652,8,2020-01-10 00:00:00+00:00
118004941,15,2016-07-14 00:00:00+00:00
11265856,8,2010-12-07 00:00:00+00:00
240897516,12,2021-10-27 00:00:00+00:00
174794955,15,2018-11-08 00:00:00+00:00
161927422,11,2018-04-23 00:00:00+00:00
129905359,9,2017-01-10 00:00:00+00:00
24062531,15,2012-02-07 00:00:00+00:00
221781191,15,2020-11-29 00:00:00+00:00
156126036,8,2018-01-30 00:00:00+00:00
86643269,11,2015-04-08 00:00:00+00:00
64594209,15,2014-03-16 00:00:00+00:00
30623512,8,2012-07-16 00:00:00+00:00
207977707,15,2020-04-28 00:00:00+00:00
100584366,15,2015-11-02 00:00:00+00:00
45488879,15,2013-04-20 00:00:00+00:00
70528128,15,2014-06-25 00:00:00+00:00
11314532,9,2010-12-09 00:00:00+00:00
253429848,9,2022-06-24 00:00:00+00:00
163602428,15,2018-05-18 00:00:00+00:00
149199586,15,2017-10-15 00:00:00+00:00
77757530,8,2014-11-03 00:00:00+00:00
30464064,8,2012-07-12 00:00:00+00:00
201051637,11,2020-01-09 00:00:00+00:00
7951942,11,2010-06-04 00:00:00+00:00
238648583,8,2021-09-15 00:00:00+00:00
23276057,15,2012-01-18 00:00:00+00:00
183074568,15,2019-03-17 00:00:00+00:00
23105150,9,2012-01-13 00:00:00+00:00
240715597,12,2021-10-23 00:00:00+00:00
220527824,8,2020-11-08 00:00:00+00:00
136538039,15,2017-04-12 00:00:00+00:00
200513806,9,2019-12-30 00:00:00+00:00
247889685,15,2022-03-07 00:00:00+00:00
65465700,9,2014-03-30 00:00:00+00:00
149160103,15,2017-10-14 00:00:00+00:00
104889030,8,2016-01-08 00:00:00+00:00
3503923,11,2009-08-03 00:00:00+00:00
11599827,15,2010-12-24 00:00:00+00:00
247702057,15,2022-03-03 00:00:00+00:00
142024863,9,2017-07-03 00:00:00+00:00
84134995,11,2015-02-24 00:00:00+00:00
201755931,9,2020-01-21 00:00:00+00:00
87054580,11,2015-04-14 00:00:00+00:00
10217308,11,2010-10-13 00:00:00+00:00
201128775,9,2020-01-10 00:00:00+00:00
64972588,8,2014-03-22 00:00:00+00:00
